,entry,run,property,t0,g,Neff_max,t0 (ps)
2184,312,ne-6000000_np-5000000_dt-2.0_nb-25_fc-1.0_h1_middle-rep1,Potential Energy (kJ/mole),5929,1.0212806,70.49972,11858
875,125,ne-6000000_np-5000000_dt-2.0_nb-25_fc-1.0_h1_middle-rep1,Potential Energy (kJ/mole),5920,1.0,81.0,11840
7966,1138,ne-6000000_np-5000000_dt-2.0_nb-25_fc-1.0_h1_middle-rep1,Potential Energy (kJ/mole),5895,1.0,106.0,11790
9842,1406,ne-6000000_np-5000000_dt-2.0_nb-25_fc-1.0_h1_middle-rep1,Potential Energy (kJ/mole),5888,1.3691391,82.533615,11776
9184,1312,ne-6000000_np-5000000_dt-2.0_nb-25_fc-1.0_h1_middle-rep1,Potential Energy (kJ/mole),5879,1.0011212,121.86337,11758
574,82,ne-6000000_np-5000000_dt-2.0_nb-25_fc-1.0_h1_middle-rep1,Potential Energy (kJ/mole),5851,1.3967144,107.3949,11702
9562,1366,ne-6000000_np-5000000_dt-2.0_nb-25_fc-1.0_h1_middle-rep1,Potential Energy (kJ/mole),5849,1.0,152.0,11698
5817,831,ne-6000000_np-5000000_dt-2.0_nb-25_fc-1.0_h1_middle-rep1,Potential Energy (kJ/mole),5807,1.4015294,138.42021,11614
889,127,ne-6000000_np-5000000_dt-2.0_nb-25_fc-1.0_h1_middle-rep1,Potential Energy (kJ/mole),5780,1.1341115,194.8662,11560
7770,1110,ne-6000000_np-5000000_dt-2.0_nb-25_fc-1.0_h1_middle-rep1,Potential Energy (kJ/mole),5776,2.2261586,101.07097,11552
8365,1195,ne-6000000_np-5000000_dt-2.0_nb-25_fc-1.0_h1_middle-rep1,Potential Energy (kJ/mole),5767,2.386882,98.03584,11534
7420,1060,ne-6000000_np-5000000_dt-2.0_nb-25_fc-1.0_h1_middle-rep1,Potential Energy (kJ/mole),5757,3.0616636,79.69524,11514
6874,982,ne-6000000_np-5000000_dt-2.0_nb-25_fc-1.0_h1_middle-rep1,Potential Energy (kJ/mole),5730,1.434511,188.91455,11460
791,113,ne-6000000_np-5000000_dt-2.0_nb-25_fc-1.0_h1_middle-rep1,Potential Energy (kJ/mole),5726,1.3404148,205.16039,11452
5124,732,ne-6000000_np-5000000_dt-2.0_nb-25_fc-1.0_h1_middle-rep1,Potential Energy (kJ/mole),5712,1.2455689,232.02249,11424
4158,594,ne-6000000_np-5000000_dt-2.0_nb-25_fc-1.0_h1_middle-rep1,Potential Energy (kJ/mole),5663,1.4809328,228.23453,11326
882,126,ne-6000000_np-5000000_dt-2.0_nb-25_fc-1.0_h1_middle-rep1,Potential Energy (kJ/mole),5634,1.0,367.0,11268
2681,383,ne-6000000_np-5000000_dt-2.0_nb-25_fc-1.0_h1_middle-rep1,Potential Energy (kJ/mole),5612,2.1708534,179.1922,11224
7581,1083,ne-6000000_np-5000000_dt-2.0_nb-25_fc-1.0_h1_middle-rep1,Potential Energy (kJ/mole),5605,1.8403112,215.181,11210
861,123,ne-6000000_np-5000000_dt-2.0_nb-25_fc-1.0_h1_middle-rep1,Potential Energy (kJ/mole),5596,2.2908225,176.79239,11192
4676,668,ne-6000000_np-5000000_dt-2.0_nb-25_fc-1.0_h1_middle-rep1,Potential Energy (kJ/mole),5587,5.496804,75.31649,11174
4928,704,ne-6000000_np-5000000_dt-2.0_nb-25_fc-1.0_h1_middle-rep1,Potential Energy (kJ/mole),5587,1.2633107,327.71036,11174
798,114,ne-6000000_np-5000000_dt-2.0_nb-25_fc-1.0_h1_middle-rep1,Potential Energy (kJ/mole),5579,1.3156353,320.75757,11158
903,129,ne-6000000_np-5000000_dt-2.0_nb-25_fc-1.0_h1_middle-rep1,Potential Energy (kJ/mole),5549,3.3636906,134.3762,11098
