entry,run,property,t0,g,Neff_max
24,ne-2500000_np-1000000_dt-2.0_nb-25,Potential Energy (kJ/mole),466,2.3160126,1310.4419
24,ne-2500000_np-1000000_dt-2.0_nb-25,Kinetic Energy (kJ/mole),3,1.163608,3006.1672
24,ne-2500000_np-1000000_dt-2.0_nb-25,Total Energy (kJ/mole),405,2.0476348,1511.9883
24,ne-2500000_np-1000000_dt-2.0_nb-25,Temperature (K),3,1.163608,3006.1672
24,ne-2500000_np-1000000_dt-2.0_nb-25,Box Volume (nm^3),7,3.1654978,1103.7759
24,ne-2500000_np-1000000_dt-2.0_nb-25,Density (g/mL),7,3.1678512,1102.9558
24,ne-2500000_np-1000000_dt-2.0_nb-25,Speed (ns/day),2500,1.4710366,680.47253
25,ne-2500000_np-1000000_dt-2.0_nb-25,Potential Energy (kJ/mole),198,10.205937,323.63513
25,ne-2500000_np-1000000_dt-2.0_nb-25,Kinetic Energy (kJ/mole),1,1.252836,2793.6619
25,ne-2500000_np-1000000_dt-2.0_nb-25,Total Energy (kJ/mole),197,7.0220304,470.5192
25,ne-2500000_np-1000000_dt-2.0_nb-25,Temperature (K),1,1.252836,2793.6619
25,ne-2500000_np-1000000_dt-2.0_nb-25,Box Volume (nm^3),74,8.521888,402.14093
25,ne-2500000_np-1000000_dt-2.0_nb-25,Density (g/mL),74,8.537257,401.417
25,ne-2500000_np-1000000_dt-2.0_nb-25,Speed (ns/day),2526,1.0,975.0
26,ne-2500000_np-1000000_dt-2.0_nb-25,Potential Energy (kJ/mole),71,6.281557,546.04297
26,ne-2500000_np-1000000_dt-2.0_nb-25,Kinetic Energy (kJ/mole),0,1.3261895,2639.8943
26,ne-2500000_np-1000000_dt-2.0_nb-25,Total Energy (kJ/mole),80,3.680713,929.4395
26,ne-2500000_np-1000000_dt-2.0_nb-25,Temperature (K),0,1.3261895,2639.8943
26,ne-2500000_np-1000000_dt-2.0_nb-25,Box Volume (nm^3),77,5.588155,612.7246
26,ne-2500000_np-1000000_dt-2.0_nb-25,Density (g/mL),77,5.578707,613.76227
26,ne-2500000_np-1000000_dt-2.0_nb-25,Speed (ns/day),0,11.83755,295.75375
27,ne-2500000_np-1000000_dt-2.0_nb-25,Potential Energy (kJ/mole),0,1.6083463,2176.77
